User  ID,Emotion
2,Sad
2,Happy
2,Happy
2,Happy
2,Sad
2,Sad
2,Sad
2,Fear
2,Happy
2,Happy
2,Happy
2,Happy
2,Happy
2,Happy
2,Sad
2,Happy
2,Happy
2,Happy
2,Happy
2,Sad
2,Fear
2,Sad
2,Sad
2,Sad
2,Sad
2,Sad
2,Sad
2,Sad
2,Sad
2,Sad
2,Angry
2,Sad
2,Angry
2,Fear
2,Sad
2,Fear
2,Sad
2,Angry
2,Sad
2,Angry
2,Sad
2,Sad
2,Happy
2,Sad
2,Happy
2,Sad
2,Sad
2,Happy
2,Happy
2,Happy
2,Happy
2,Angry
2,Sad
2,Sad
2,Sad
2,Sad
2,Happy
2,Happy
2,Happy
2,Happy
2,Happy
2,Angry
2,Angry
2,Angry
2,Angry
2,Sad
2,Sad
2,Happy
2,Sad
2,Happy
2,Sad
2,Sad
2,Sad
2,Happy
2,Happy
2,Happy
2,Happy
2,Happy
2,Sad
2,Sad
2,Happy
2,Happy
2,Happy
2,Happy
2,Happy
2,Happy
2,Happy
2,Happy
2,Happy
2,Happy
2,Happy
2,Happy
2,Fear
2,Fear
2,Fear
2,Fear
2,Fear
2,Sad
2,Sad
2,Sad
2,Sad
2,Sad
2,Sad
2,Sad
2,Sad
2,Sad
2,Sad
2,Sad
2,Sad
2,Sad
2,Fear
2,Happy
2,Happy
2,Happy
2,Happy
2,Happy
2,Happy
2,Happy
2,Happy
2,Fear
2,Fear
2,Fear
2,Fear
2,Fear
2,Fear
2,Sad
2,Angry
2,Fear
2,Fear
2,Fear
2,Fear
2,Fear
2,Fear
2,Sad
2,Fear
2,Fear
2,Fear
2,Fear
2,Fear
2,Fear
2,Fear
2,Fear
2,Fear
2,Fear
2,Fear
2,Fear
2,Fear
2,Sad
2,Sad
2,Fear
2,Sad
2,Happy
2,Angry
2,Sad
2,Angry
2,Happy
2,Angry
2,Happy
2,Happy
2,Angry
2,Happy
2,Angry
2,Angry
2,Sad
2,Angry
2,Angry
2,Sad
2,Sad
2,Sad
2,Sad
2,Sad
2,Sad
2,Sad
2,Sad
2,Sad
2,Angry
2,Angry
2,Angry
2,Angry
2,Happy
2,Sad
2,Sad
2,Sad
2,Sad
2,Angry
2,Angry
2,Angry
2,Angry
2,Sad
2,Angry
2,Angry
2,Angry
2,Sad
2,Angry
2,Sad
2,Angry
2,Angry
2,Angry
2,Sad
2,Angry
2,Sad
2,Angry
2,Sad
2,Angry
2,Sad
2,Sad
2,Sad
2,Angry
2,Sad
2,Angry
2,Sad
2,Angry
2,Sad
2,Angry
2,Angry
2,Angry
2,Angry
2,Angry
2,Sad
2,Angry
2,Sad
2,Angry
2,Happy
2,Angry
2,Angry
2,Angry
2,Angry
